feature_id	frequency	candidate_placements	top_edge_num	top_likelihood	top_likelihood_weight	second_likelihood_weight	likelihood_weight_sum	distal_length	pendant_length
7daff9940d5f6df38a496252eb7dc98a	3	1	10759	-131065.91	1.0	0.0	1.0	0.008483224	0.03924085
7e7deb01f0491d33ecb87427fcbeb1ee	20	7	139423	-62737.03	0.142864	0.14286397	0.9999999900000001	5.000002e-07	6.113515e-06
7eb03f37e0df2e91756000f54b92a3ff	7	5	10914	-131084.97	0.69618994	0.26201406	1.000000001	0.049737077	0.04332623
7fc72bae05914d2a9d0ddadb3af5fbb7	9	3	10278	-130641.66	0.7112654	0.18044947	1.000000044	0.030144969	0.105147384
7fe5140fabab7789c1dbaa9a5939bedd	20	7	190958	-139545.03	0.7401955	0.06775917	0.999999961	0.005245247	0.08437814
80d11785b5400ad33e1293d8c72d736d	7	7	190967	-139536.48	0.29959485	0.26475337	1.000000012	0.010561607	0.065531574
80d3501f78a03f9396161c0abd018c18	14	2	190976	-139491.75	0.9823228	0.017677201	1.000000001	0.004185858	0.01307477
8180787793ddae9c1ce4a8f5fdd43e42	6	1	10926	-131114.36	1.0	0.0	1.0	0.022389175	0.10267993
82c5d781264721f87110d8a4dfb8f8a2	6	5	110	-131046.59	0.78376746	0.14065187	0.999999983	0.0841064	0.09448786
82ec53e4344ddf93f89cfc2e583e81e0	3	6	10903	-131104.14	0.43217233	0.3759727	1.0000000345	0.040897004	0.0784666
844153abf4b2fff43c23531c070afc26	2	1	13504	-125818.82	1.0	0.0	1.0	8.636262e-06	0.003905187
844dbf54e9b6647e87b349fbaa83b78a	4	3	45	-131236.39	0.9624827	0.02504986	1.000000011	0.117478006	0.13524672
84d53da3860d39365c990c7a322c4d1f	2	1	190809	-139575.94	1.0	0.0	1.0	0.029341197	0.12183272
851e56d6147b8e4d3d28cafb27228449	7	1	204739	-126643.81	1.0	0.0	1.0	0.011340172	0.052968085
855919a3a96c487ce877691029c8f660	3	3	221561	-105814.67	0.49886087	0.49859557	1.0000000133	5.311908e-06	0.016507495
85ac83daa78930e71ceff45dcd61ee12	4	3	108938	-70957.63	0.33379477	0.33379474	0.9999999900000001	6.252705e-06	6.113515e-06
8657067009fc7880ffa92458ac4b5103	7	7	10915	-131089.11	0.26847345	0.26845396	1.00000004	6.090924e-06	0.058772158
868e0165fe32a8925b7f20afa5e1dbfc	11	7	23588	-79401.03	0.14285715	0.14285715	1.00000005	5.000002e-07	6.113515e-06
86c85cb7ac8dcefc3644041883421c24	5	2	10948	-131075.17	0.98663694	0.013363043	0.999999983	0.020489283	0.05700435
8794266a9850580f5e066fcd3caea9c9	3	4	142706	-103495.2	0.5888407	0.18629181	0.99999997	5.2147184e-06	0.14401072
87e503bff5c5886e5938a97aa0afb1d5	22	7	317047	-103875.36	0.30410758	0.28036088	0.9999999943	8.517692e-06	0.29145652
87f23dff63ebabb1ee31b6a816a6f2e4	3	5	11198	-131144.48	0.6997865	0.076047786	0.999999986	0.021056855	0.18676493
880f37c3b162f77eaf2171436908e134	4	1	10285	-130636.88	1.0	0.0	1.0	0.020526398	0.09405811
8820549df4df1d033172dd187319d06f	4	1	12685	-125830.87	1.0	0.0	1.0	0.01182296	6.113515e-06
8980c65cc2b3c63bf079e3397ed5ceaf	8	3	10708	-131125.7	0.6628161	0.27571225	1.000000002	0.052638087	0.123518005
89fa0981707da59c8cede9f5d70afe62	26	3	11454	-131119.95	0.86375564	0.06948989	0.999999975	0.011755838	0.095911905
8a42d1b77fa69e52beee81716fc28799	9	7	11664	-125528.305	0.65728784	0.13175474	1.0000000119999999	0.12534039	0.29719037
8b91e5b1c412877f96a4a342ab6dc680	32	7	70829	-64222.88	0.14346386	0.14346085	0.9999999900000001	6.101547e-06	6.113515e-06
8c17243ee0487252b481d5550f986696	3	3	190958	-139559.62	0.8974804	0.05335148	0.99999997	0.0041020275	0.093229294
8ceae18ee0348d694b1a6f77def3b22e	21	1	14703	-136993.66	1.0	0.0	1.0	5.193419e-06	6.113515e-06
8f15d3aaf8afd2c23436f6902502d156	9	1	117753	-142558.89	1.0	0.0	1.0	7.3064357e-06	6.113515e-06
9004b442993f8dac89b6ba5b3bd6c445	5	4	203179	-127183.18	0.73572147	0.10823669	0.9999999789999999	0.025015626	0.042890824
906a06fc904a9a11c50b0a100467961b	14	1	10989	-131083.72	1.0	0.0	1.0	0.029507162	0.056519296
931ac7709b0d74ba3440921b1c12cdce	32	1	102	-130580.46	1.0	0.0	1.0	0.04106612	0.0513881
9412a1c9baaa8ea4382e404d902783fd	2	4	83	-131100.78	0.7776391	0.105364665	0.999999997	0.031652004	0.19607443
948a628bd325d2bbcae73a4546be45d6	4	1	154	-131209.78	1.0	0.0	1.0	0.08283154	0.11431457
