Group	EdgeKey	SelectionFrequency
CW	Genus:Pirellula || Genus:Altererythrobacter	0.008
CW	Genus:Pirellula || Genus:Desulfobulbus	0.054
CW	Genus:Pirellula || Genus:Ferruginibacter	0.01
CW	Genus:Pirellula || Genus:Fusibacter	0.002
CW	Genus:Pirellula || Genus:Gemmatimonas	0.09
CW	Genus:Pirellula || Genus:Geobacter	0.018
CW	Genus:Pirellula || Genus:Haliangium	0.002
CW	Genus:Pirellula || Genus:Lysobacter	0.388
CW	Genus:Pirellula || Genus:Massilia	0.08
CW	Genus:Pirellula || Genus:Nitrospira	0.11
CW	Genus:Pirellula || Genus:Paenisporosarcina	0.054
CW	Genus:Pirellula || Genus:Planctomyces	0.148
CW	Genus:Pirellula || Genus:Pseudolabrys	0.002
CW	Genus:Pirellula || Genus:Robiginitalea	0.002
CW	Genus:Pirellula || Genus:Variibacter	0.126
CW	Genus:Planctomyces || Genus:Altererythrobacter	0.002
CW	Genus:Planctomyces || Genus:Arenimonas	0.002
CW	Genus:Planctomyces || Genus:Ferruginibacter	0.256
CW	Genus:Planctomyces || Genus:Fusibacter	0.006
CW	Genus:Planctomyces || Genus:Geobacter	0.002
CW	Genus:Planctomyces || Genus:Haliangium	0.03
CW	Genus:Planctomyces || Genus:Nitrospira	0.008
CW	Genus:Planctomyces || Genus:Pedobacter	0.002
CW	Genus:Planctomyces || Genus:Robiginitalea	0.002
CW	Genus:Planctomyces || Genus:Variibacter	0.006
CW	Genus:Planomicrobium || Genus:Acidovorax	0.004
CW	Genus:Planomicrobium || Genus:Desulfobulbus	0.002
CW	Genus:Planomicrobium || Genus:Ferruginibacter	0.056
CW	Genus:Planomicrobium || Genus:Fusibacter	0.028
CW	Genus:Planomicrobium || Genus:Gemmatimonas	0.29
CW	Genus:Planomicrobium || Genus:Geobacter	0.014
CW	Genus:Planomicrobium || Genus:Haliangium	0.016
CW	Genus:Planomicrobium || Genus:Lysobacter	0.004
CW	Genus:Planomicrobium || Genus:Marinicella	0.002
CW	Genus:Planomicrobium || Genus:Massilia	0.002
CW	Genus:Planomicrobium || Genus:Nitrospira	0.002
CW	Genus:Planomicrobium || Genus:Pedobacter	0.002
CW	Genus:Planomicrobium || Genus:Pirellula	0.022
CW	Genus:Planomicrobium || Genus:Planctomyces	0.026
CW	Genus:Planomicrobium || Genus:Pseudolabrys	0.008
CW	Genus:Planomicrobium || Genus:Robiginitalea	0.004
CW	Genus:Pseudolabrys || Genus:Acidovorax	0.002
CW	Genus:Pseudolabrys || Genus:Altererythrobacter	0.012
CW	Genus:Pseudolabrys || Genus:Arenimonas	0.022
CW	Genus:Pseudolabrys || Genus:Fusibacter	0.022
CW	Genus:Pseudolabrys || Genus:Geobacter	0.09
CW	Genus:Pseudolabrys || Genus:Robiginitalea	0.148
CW	Genus:Pseudolabrys || Genus:Terrimonas	0.036
CW	Genus:Pseudomonas || Genus:Acidovorax	0.004
CW	Genus:Pseudomonas || Genus:Algoriphagus	0.002
CW	Genus:Pseudomonas || Genus:Altererythrobacter	0.062
CW	Genus:Pseudomonas || Genus:Ferruginibacter	0.004
CW	Genus:Pseudomonas || Genus:Fusibacter	0.038
CW	Genus:Pseudomonas || Genus:Geobacter	0.008
CW	Genus:Pseudomonas || Genus:Haliangium	0.008
CW	Genus:Pseudomonas || Genus:Massilia	0.076
CW	Genus:Pseudomonas || Genus:Nitrospira	0.002
CW	Genus:Pseudomonas || Genus:Paenisporosarcina	0.018
CW	Genus:Pseudomonas || Genus:Pedobacter	0.11
CW	Genus:Pseudomonas || Genus:Pirellula	0.014
CW	Genus:Pseudomonas || Genus:Planctomyces	0.164
CW	Genus:Pseudomonas || Genus:Robiginitalea	0.21
CW	Genus:Pseudomonas || Genus:Terrimonas	0.298
CW	Genus:Pseudomonas || Genus:Variibacter	0.002
CW	Genus:Robiginitalea || Genus:Altererythrobacter	0.202
CW	Genus:Robiginitalea || Genus:Exiguobacterium	0.07
CW	Genus:Robiginitalea || Genus:Massilia	0.002
CW	Genus:Sphingomonas || Genus:Acidovorax	0.002
CW	Genus:Sphingomonas || Genus:Algoriphagus	0.146
CW	Genus:Sphingomonas || Genus:Altererythrobacter	0.006
CW	Genus:Sphingomonas || Genus:Anaerolinea	0.016
CW	Genus:Sphingomonas || Genus:Arthrobacter	0.138
CW	Genus:Sphingomonas || Genus:Bacillus	0.06
CW	Genus:Sphingomonas || Genus:Bryobacter	0.004
CW	Genus:Sphingomonas || Genus:Candidatus Solibacter	0.006
CW	Genus:Sphingomonas || Genus:Clostridium sensu stricto 13	0.008
CW	Genus:Sphingomonas || Genus:Exiguobacterium	0.002
CW	Genus:Sphingomonas || Genus:Ferruginibacter	0.08
CW	Genus:Sphingomonas || Genus:Flavobacterium	0.004
CW	Genus:Sphingomonas || Genus:Gemmatimonas	0.08
CW	Genus:Sphingomonas || Genus:Geobacter	0.058
CW	Genus:Sphingomonas || Genus:Haliangium	0.002
CW	Genus:Sphingomonas || Genus:Illumatobacter	0.096
CW	Genus:Sphingomonas || Genus:Lysobacter	0.058
CW	Genus:Sphingomonas || Genus:Massilia	0.014
CW	Genus:Sphingomonas || Genus:Nitrospira	0.002
CW	Genus:Sphingomonas || Genus:Paenisporosarcina	0.002
CW	Genus:Sphingomonas || Genus:Pedobacter	0.052
CW	Genus:Sphingomonas || Genus:Pirellula	0.146
CW	Genus:Sphingomonas || Genus:Planctomyces	0.002
CW	Genus:Sphingomonas || Genus:Planomicrobium	0.004
CW	Genus:Sphingomonas || Genus:Sulfurovum	0.002
CW	Genus:Sphingomonas || Genus:Variibacter	0.038
CW	Genus:Sulfurovum || Genus:Acidovorax	0.046
CW	Genus:Sulfurovum || Genus:Algoriphagus	0.02
CW	Genus:Sulfurovum || Genus:Altererythrobacter	0.032
CW	Genus:Sulfurovum || Genus:Arenimonas	0.002
CW	Genus:Sulfurovum || Genus:Ferruginibacter	0.032
CW	Genus:Sulfurovum || Genus:Fusibacter	0.182
CW	Genus:Sulfurovum || Genus:Gaiella	0.252
CW	Genus:Sulfurovum || Genus:Gemmatimonas	0.038
CW	Genus:Sulfurovum || Genus:Gillisia	0.04
CW	Genus:Sulfurovum || Genus:Haliangium	0.01
CW	Genus:Sulfurovum || Genus:Lysobacter	0.876
CW	Genus:Sulfurovum || Genus:Marinicella	0.012
CW	Genus:Sulfurovum || Genus:Massilia	0.822
CW	Genus:Sulfurovum || Genus:Nitrospira	0.02
CW	Genus:Sulfurovum || Genus:Paenisporosarcina	0.012
CW	Genus:Sulfurovum || Genus:Pirellula	0.734
CW	Genus:Sulfurovum || Genus:Planctomyces	0.036
CW	Genus:Sulfurovum || Genus:Planomicrobium	0.006
CW	Genus:Sulfurovum || Genus:Pseudomonas	0.004
CW	Genus:Sulfurovum || Genus:Robiginitalea	0.004
CW	Genus:Sulfurovum || Genus:Terrimonas	0.274
CW	Genus:Sulfurovum || Genus:Variibacter	0.028
CW	Genus:Terrimonas || Genus:Exiguobacterium	0.002
CW	Genus:Thiobacillus || Genus:Arthrobacter	0.302
CW	Genus:Thiobacillus || Genus:Bacillus	0.018
