FeatureID	DisplayTaxon	Module	WithinConnectivity	KME	CandidateHub
Genus:Isosphaera	Isosphaera	grey	1.70316316103453	NA	FALSE
Genus:Lutibacter	Lutibacter	grey	1.42686152301582	NA	FALSE
Genus:Polynucleobacter	Polynucleobacter	yellow	11.9169967341326	0.746921752654668	FALSE
Genus:Frankia	Frankia	turquoise	3.75138297090863	0.317630626933876	FALSE
Genus:Tabrizicola	Tabrizicola	grey	1.29022803177164	NA	FALSE
Genus:Candidatus Methanoperedens	Candidatus Methanoperedens	grey	1.47569305579356	NA	FALSE
Genus:Singulisphaera	Singulisphaera	turquoise	9.72365448896655	0.651777209724691	FALSE
Genus:Pseudahrensia	Pseudahrensia	blue	5.36383912632989	0.597598818163173	FALSE
Genus:Pontibacter	Pontibacter	grey	1.91120089781423	NA	FALSE
Genus:Flexithrix	Flexithrix	blue	5.2840081739575	0.589599008666693	FALSE
Genus:Carboxylicivirga	Carboxylicivirga	blue	3.49819641514237	0.427377600357162	FALSE
Genus:Solirubrobacter	Solirubrobacter	turquoise	11.6831424843164	0.71468338613156	FALSE
Genus:Vibrio	Vibrio	turquoise	4.29274668340232	0.312109635652838	FALSE
Genus:Lysinimonas	Lysinimonas	grey	1.4020523042769	NA	FALSE
Genus:Actinotalea	Actinotalea	brown	4.05239345369084	0.600792114133622	FALSE
Genus:Pedobacter	Pedobacter	yellow	10.4416215193426	0.702070749182838	FALSE
Genus:Noviherbaspirillum	Noviherbaspirillum	brown	6.32579846490149	0.787130626203853	FALSE
Genus:Porphyrobacter	Porphyrobacter	grey	1.77429333295034	NA	FALSE
Genus:Fusibacter	Fusibacter	grey	2.27230531956471	NA	FALSE
Genus:Oscillochloris	Oscillochloris	turquoise	7.21850447367218	0.541347513233937	FALSE
Genus:Ornithinibacter	Ornithinibacter	brown	2.98350888349559	0.52713101470813	FALSE
Genus:Cryobacterium	Cryobacterium	brown	4.17652057568982	0.655152644198077	FALSE
Genus:Caulobacter	Caulobacter	brown	3.22506884056605	0.538795226885199	FALSE
Genus:Nitrosococcus	Nitrosococcus	grey	1.54516415906405	NA	FALSE
Genus:Proteiniclasticum	Proteiniclasticum	grey	1.47212606256645	NA	FALSE
Genus:Demequina	Demequina	grey	1.30808850992631	NA	FALSE
Genus:Pseudoxanthomonas	Pseudoxanthomonas	brown	3.8699975524898	0.591928175542863	FALSE
Genus:Aequorivita	Aequorivita	grey	1.0814014534381	NA	FALSE
Genus:Pseudonocardia	Pseudonocardia	turquoise	12.1321726918378	0.735347647243597	FALSE
Genus:Rubellimicrobium	Rubellimicrobium	grey	1.47023116525663	NA	FALSE
Genus:Candidatus Nitrososphaera	Candidatus Nitrososphaera	turquoise	6.62941506575487	0.562003102832099	FALSE
Genus:[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group	brown	1.44842114520774	0.330739012581659	FALSE
Genus:Yangia	Yangia	blue	7.64955417103697	0.66734441910587	FALSE
Genus:Nitriliruptor	Nitriliruptor	turquoise	5.94541766707718	0.409087167323838	FALSE
Genus:Paludibacter	Paludibacter	grey	1.717998364515	NA	FALSE
Genus:Ruegeria	Ruegeria	blue	2.8394156036703	0.342126463519303	FALSE
Genus:Sphingopyxis	Sphingopyxis	yellow	5.89344814274305	0.559042834521335	FALSE
Genus:Carnobacterium	Carnobacterium	grey	1.30767473442408	NA	FALSE
Genus:Gallionella	Gallionella	grey	1.41802115083532	NA	FALSE
Genus:Psychrobacter	Psychrobacter	grey	1.28310093569199	NA	FALSE
Genus:Sterolibacterium	Sterolibacterium	turquoise	6.60597684997376	0.486391583781793	FALSE
Genus:Phaeodactylibacter	Phaeodactylibacter	grey	1.8851416168781	NA	FALSE
Genus:SM1A02	SM1A02	grey	1.81720096276128	NA	FALSE
Genus:Oryzihumus	Oryzihumus	brown	2.54317933935056	0.34399419045661	FALSE
Genus:Bdellovibrio	Bdellovibrio	brown	2.52952075159416	0.48352164871722	FALSE
Genus:Anaerovorax	Anaerovorax	grey	1.53031957635932	NA	FALSE
Genus:Patulibacter	Patulibacter	turquoise	8.07603051933206	0.569089754305371	FALSE
Genus:Paracocccus	Paracocccus	blue	7.81647576831747	0.67359456256562	FALSE
Genus:Niastella	Niastella	turquoise	11.278962529937	0.717265664676428	FALSE
Genus:Mesorhizobium	Mesorhizobium	turquoise	6.02314542595627	0.427946840586792	FALSE
Genus:Sandaracinobacter	Sandaracinobacter	grey	1.64265372128643	NA	FALSE
Genus:Acidiferrobacter	Acidiferrobacter	turquoise	3.53406640070625	0.325707400377322	FALSE
Genus:Turicibacter	Turicibacter	blue	2.16534477235452	0.330525056383228	FALSE
Genus:Peredibacter	Peredibacter	grey	1.11895240395397	NA	FALSE
Genus:Acidaminobacter	Acidaminobacter	grey	1.86830524065357	NA	FALSE
Genus:Hoeflea	Hoeflea	blue	5.93452310874449	0.570299659869912	FALSE
Genus:Oceanimonas	Oceanimonas	grey	1.46989850205591	NA	FALSE
Genus:Levilinea	Levilinea	grey	1.1851511789671	NA	FALSE
Genus:Prolixibacter	Prolixibacter	yellow	1.67526387646896	0.286437872087736	FALSE
